name,totalMessages,internal,partitionCount,replicationFactor,replicas,inSyncReplicas,segmentSize,segmentCount,bytesInPerSec,bytesOutPerSec,underReplicatedPartitions,cleanUpPolicy,partitions
fumitran,,False,10,2,20,20,59432,20,,,0,DELETE,"[{""partition"": 0, ""leader"": 2, ""replicas"": [{""broker"": 2, ""leader"": true, ""inSync"": true}, {""broker"": 1, ""leader"": false, ""inSync"": true}], ""offsetMax"": 46, ""offsetMin"": 28}, {""partition"": 1, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}, {""broker"": 2, ""leader"": false, ""inSync"": true}], ""offsetMax"": 105, ""offsetMin"": 68}, {""partition"": 2, ""leader"": 2, ""replicas"": [{""broker"": 2, ""leader"": true, ""inSync"": true}, {""broker"": 1, ""leader"": false, ""inSync"": true}], ""offsetMax"": 64, ""offsetMin"": 46}, {""partition"": 3, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}, {""broker"": 2, ""leader"": false, ""inSync"": true}], ""offsetMax"": 49, ""offsetMin"": 27}, {""partition"": 4, ""leader"": 2, ""replicas"": [{""broker"": 2, ""leader"": true, ""inSync"": true}, {""broker"": 1, ""leader"": false, ""inSync"": true}], ""offsetMax"": 27, ""offsetMin"": 16}, {""partition"": 5, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}, {""broker"": 2, ""leader"": false, ""inSync"": true}], ""offsetMax"": 46, ""offsetMin"": 30}, {""partition"": 6, ""leader"": 2, ""replicas"": [{""broker"": 2, ""leader"": true, ""inSync"": true}, {""broker"": 1, ""leader"": false, ""inSync"": true}], ""offsetMax"": 55, ""offsetMin"": 37}, {""partition"": 7, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}, {""broker"": 2, ""leader"": false, ""inSync"": true}], ""offsetMax"": 60, ""offsetMin"": 36}, {""partition"": 8, ""leader"": 2, ""replicas"": [{""broker"": 2, ""leader"": true, ""inSync"": true}, {""broker"": 1, ""leader"": false, ""inSync"": true}], ""offsetMax"": 81, ""offsetMin"": 55}, {""partition"": 9, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}, {""broker"": 2, ""leader"": false, ""inSync"": true}], ""offsetMax"": 65, ""offsetMin"": 40}]"
test-topic,,False,1,1,1,1,0,1,,,0,DELETE,"[{""partition"": 0, ""leader"": 1, ""replicas"": [{""broker"": 1, ""leader"": true, ""inSync"": true}], ""offsetMax"": 24, ""offsetMin"": 24}]"
